,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
15213,1305714,http://www.imdb.com/title/tt1305714,Make the Yuletide Gay (2009),6.5,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzc5MTM5Mjc0Nl5BMl5BanBnXkFtZTcwNzI0MTcxMw@@._V1_UY268_CR4,0,182,268_AL_.jpg"
34542,3300442,http://www.imdb.com/title/tt3300442,Paternity Leave (2015),6.7,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDAyMTVhYmYtYWFkMi00N2Q5LThmYzYtYzRmMmZhY2ExNjQzXkEyXkFqcGdeQXVyNjEwOTIyNA@@._V1_UY268_CR3,0,182,268_AL_.jpg"
32026,275170,http://www.imdb.com/title/tt275170,The 4th Tenor (2002),5.1,Comedy|Music|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MzY4NTIzM15BMl5BanBnXkFtZTcwODEyMjAwMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
26768,18836,http://www.imdb.com/title/tt18836,The Divine Woman (1928),7.2,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNDQxOTA4NV5BMl5BanBnXkFtZTgwMDQ0MTM5MjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
18477,1058027,http://www.imdb.com/title/tt1058027,A Via LÌÁctea (2007),5.9,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzUyYWQ1NGQtYTlmMy00ZjdlLWI1NTctZGRhYTcyMDQ3M2M1XkEyXkFqcGdeQXVyMTU2ODc4ODQ@._V1_UY268_CR2,0,182,268_AL_.jpg"
31577,1305678,http://www.imdb.com/title/tt1305678,Genius Party Beyond (2008),7.2,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjk0NjgyMmUtZjM3My00NzQ5LWFiYzktYjA3MmI2ZWVmOGU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
1347,96487,http://www.imdb.com/title/tt96487,Young Guns (1988),6.8,Action|Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMzIyMjM3NV5BMl5BanBnXkFtZTcwMjgxNDcxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
10015,287138,http://www.imdb.com/title/tt287138,Who's Your Daddy? (2004),4.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMTQ2NDQyNF5BMl5BanBnXkFtZTcwNTAzMzcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
13593,791178,http://www.imdb.com/title/tt791178,The Jammed (2007),6.9,Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2Mzk4NDc0M15BMl5BanBnXkFtZTcwMzM4Mzg5Nw@@._V1_UY268_CR14,0,182,268_AL_.jpg"
37807,160521,http://www.imdb.com/title/tt160521,Megazone 23 (1985),7.1,Animation|Action|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNzEzNTYwMF5BMl5BanBnXkFtZTcwNjQxODUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
26061,2215113,http://www.imdb.com/title/tt2215113,Hiver nomade (2012),7.6,Documentary|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTA4OTIzOTI5N15BMl5BanBnXkFtZTgwODMwMjEwMjE@._V1_UY268_CR9,0,182,268_AL_.jpg"
20022,1704161,http://www.imdb.com/title/tt1704161,33 Postcards (2011),6.2,Drama|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NDg2OTc4MF5BMl5BanBnXkFtZTcwNzMyOTAwNw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
30908,2517558,http://www.imdb.com/title/tt2517558,Da geht noch was (2013),6.3,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjg3NDA0MzM5M15BMl5BanBnXkFtZTgwNzIyMTA1MTE@._V1_UY268_CR9,0,182,268_AL_.jpg"
36314,240221,http://www.imdb.com/title/tt240221,Wojaczek (1999),7.1,Biography|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWVjMDBmZTMtNTlmYi00ZTIxLTkxYjktYzJlNTlmOGUyYTIwXkEyXkFqcGdeQXVyNjUxNzIxNzY@._V1_UY268_CR3,0,182,268_AL_.jpg"
21175,2053463,http://www.imdb.com/title/tt2053463,Side Effects (2013),7.1,Crime|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MzY0NDAwOF5BMl5BanBnXkFtZTcwMTE1Mzc4OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
38085,301634,http://www.imdb.com/title/tt301634,Mrtav 'ladan (2002),8.4,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NDc0MjU3Nl5BMl5BanBnXkFtZTcwNDc3NTU3OQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
32270,4292554,http://www.imdb.com/title/tt4292554,Journey to Space (2015),6.5,Documentary|Adventure|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmQ2ZTliMGYtNjY2OS00YzIwLWJlMTctOGU0NGNmNzFhNGZlXkEyXkFqcGdeQXVyMTQxMzU0Nzk@._V1_UY268_CR1,0,182,268_AL_.jpg"
8325,32635,http://www.imdb.com/title/tt32635,The Invisible Man Returns (1940),6.5,Drama|Horror|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUwODc3Njk4M15BMl5BanBnXkFtZTgwMTg0NTQzMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
19742,1592281,http://www.imdb.com/title/tt1592281,Take This Waltz (2011),6.6,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzOTc1NTExNV5BMl5BanBnXkFtZTcwOTg5MTY2Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
8044,72848,http://www.imdb.com/title/tt72848,The Day of the Locust (1975),7.1,Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BODYxNWNkYzgtY2Q0NC00ZjU3LTkzOWYtYzljYWQ0OTJiMDhhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
13508,805570,http://www.imdb.com/title/tt805570,The Midnight Meat Train (2008),6.1,Horror|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwNTk0NDUwNDdeQTJeQWpwZ15BbWU3MDQ3NzcyNjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
39801,452664,http://www.imdb.com/title/tt452664,Os Penetras (2012),5.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmU3ZTdjOGYtZTljMi00Mzc2LTkwNmUtMTNiNmYwNjdiMDUxXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX182_CR0,0,182,268_AL_.jpg"
28002,79920,http://www.imdb.com/title/tt79920,Les soeurs BrontÌÇ (1979),6.7,Biography|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NjU1NzQxNl5BMl5BanBnXkFtZTgwNDczODk1MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
6909,102721,http://www.imdb.com/title/tt102721,Proof (1991),7.4,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MTM0NzM1NF5BMl5BanBnXkFtZTgwNjc2MzgzMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
17374,881320,http://www.imdb.com/title/tt881320,Sanctum (2011),5.9,Adventure|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MjY1NTEyNV5BMl5BanBnXkFtZTcwMTc3MjcxNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
